timestamp,open_spot,open_perp,high_spot,high_perp,low_spot,low_perp,close_spot,close_perp,volume_total,volume_spot,volume_perp,buy_volume_total,buy_volume_spot,buy_volume_perp,sell_volume_total,sell_volume_spot,sell_volume_perp,trades_total,trades_spot,trades_perp,buy_trades_total,buy_trades_spot,buy_trades_perp,sell_trades_total,sell_trades_spot,sell_trades_perp,open_interest,funding_rate
2024-09-12 07:00:00+00:00,57948.0,57920.1,58054.0,58025.9,57938.17,57909.2,58038.0,58015.2,797.3490799999934,127.29607999999831,670.0529999999977,304.11852000000084,37.32852000000003,266.7900000000001,493.2305599999989,89.96755999999887,403.2630000000002,7166,3690,3476,2978,1598,1380,4188,2092,2096,,
2024-09-12 07:05:00+00:00,58040.0,58015.2,58061.1,58046.7,57876.0,57842.0,57915.31,57882.6,654.4737499999926,30.877750000000006,623.595999999994,357.8053600000004,21.888359999999967,335.91700000000014,296.66839,8.989389999999954,287.6790000000001,6136,2506,3630,3751,1612,2139,2385,894,1491,,
2024-09-12 07:10:00+00:00,57915.31,,57980.0,57955.1,57901.99,57872.0,57951.21,57916.1,235.2342499999998,15.165249999999864,220.06899999999985,89.05466999999989,5.19466999999995,83.8599999999999,146.17957999999928,9.97057999999994,136.2089999999996,4558,2343,2215,1903,965,938,2655,1378,1277,,
2024-09-12 07:15:00+00:00,57951.21,57916.0,57976.0,57950.0,57914.0,57881.2,57916.0,57887.5,380.6541000000006,45.89510000000015,334.7590000000004,167.61568000000005,22.188679999999955,145.42700000000025,213.03841999999992,23.706419999999998,189.33199999999982,4656,2105,2551,2573,1321,1252,2083,784,1299,,
2024-09-12 07:20:00+00:00,57916.0,57887.5,58018.0,57993.6,57903.3,57872.8,57946.0,,344.63224999999994,46.23025000000043,298.4019999999997,135.6839199999997,19.104919999999854,116.57899999999985,208.94833000000042,27.125330000000194,181.823,5433,2798,2635,2443,1334,1109,2990,1464,1526,,
2024-09-12 07:25:00+00:00,57945.99,57918.4,58070.0,58050.0,57945.99,57918.3,58059.99,,523.3997099999997,50.98071,472.41900000000146,174.58518000000024,8.857179999999977,165.72800000000015,348.8145300000009,42.12353,306.6910000000007,5605,2441,3164,1842,744,1098,3763,1697,2066,,
2024-09-12 07:30:00+00:00,58059.99,58030.9,58143.7,58144.0,58012.0,57979.0,58057.99,,893.4653799999705,77.21937999999966,816.2459999999746,294.0386400000003,30.791639999999955,263.2470000000003,599.4267399999912,46.427740000000036,552.998999999995,9615,4148,5467,4368,1889,2479,5247,2259,2988,,
2024-09-12 07:35:00+00:00,58058.0,,58060.0,58033.1,57996.36,57961.0,58058.82,58021.0,356.31463000000133,61.598630000000455,294.7160000000003,190.96441999999988,30.560419999999894,160.40399999999983,165.35020999999952,31.03820999999997,134.31199999999953,6304,3348,2956,3406,1804,1602,2898,1544,1354,,
2024-09-12 07:40:00+00:00,58058.82,,58058.83,58025.1,58004.33,57970.0,58035.62,58000.1,245.48797000000192,33.85997000000039,211.62800000000075,132.43921999999995,19.042220000000075,113.39699999999964,113.04874999999957,14.817749999999897,98.23099999999948,5245,2972,2273,3100,1795,1305,2145,1177,968,,
2024-09-12 07:45:00+00:00,58035.62,,58129.99,58100.0,57974.01,57941.5,58078.0,,565.35465,84.42464999999865,480.93000000000296,287.8401000000008,52.52710000000008,235.31300000000027,277.5145500000009,31.897550000000408,245.61700000000025,8717,4887,3830,4012,2118,1894,4705,2769,1936,,
