,timestamp,open_spot,open_perp,high_spot,high_perp,low_spot,low_perp,close_spot,close_perp,volume_spot,volume_perp,buy_volume_spot,buy_volume_perp,trades_spot,trades_perp,buy_trades_spot,buy_trades_perp,open_interest,funding_rate
0,2024-07-21 00:00:00.000000 +00:00,67139.97,67095.6,67186.12,67149.4,67063.5,67016.9,67102.0,67057.0,3083345.0234671,47287607.6857,1820982.8857509,16322037.1041,3406,8900,1478,3219,195151.3836488343,-5.496e-05
1,2024-07-21 00:05:00.000000 +00:00,67102.0,67056.9,67123.11,67086.5,67092.31,67045.7,67114.02,67070.3,1606322.1638442,11331377.3833,743789.2629431,5625256.4616,2218,3390,1037,1304,195167.35033819056,-5.565e-05
2,2024-07-21 00:10:00.000000 +00:00,67114.01,67070.2,67216.0,67184.1,67100.01,67057.5,67216.0,67181.5,2497386.2406615,13764709.783,1797316.6444233,9394782.862,2450,3850,1601,2386,195110.2135418142,-5.708e-05
3,2024-07-21 00:15:00.000000 +00:00,67216.0,67181.5,67322.0,67290.9,67215.99,67177.6,67290.07,67251.8,4106298.6583196,43312826.6567,2657966.1925944,26113002.3956,13109,10353,3892,5881,194923.72915647607,-5.611e-05
4,2024-07-21 00:20:00.000000 +00:00,67290.07,67251.8,67290.07,67251.9,67193.0,67148.9,67193.01,67149.0,2144302.7246187,16369126.8492,608910.940264,4291685.2173999995,2263,4087,722,1265,195042.87887571237,-5.688e-05
5,2024-07-21 00:25:00.000000 +00:00,67193.0,67148.9,67206.0,67166.9,67180.0,67134.4,67180.0,67139.1,2504869.1559944,10090276.0129,1156351.9450432,3433735.3605,1995,3091,1011,1181,195111.04395272263,-5.854e-05
6,2024-07-21 00:30:00.000000 +00:00,67180.01,67139.1,67180.01,67140.0,67120.0,67071.7,67120.0,67078.8,1704441.4594234,14521165.7391,751840.2561134,3603010.9707,2356,4523,915,1579,195196.5558940303,-6.005e-05
7,2024-07-21 00:35:00.000000 +00:00,67120.01,67078.9,67120.01,67078.9,67043.99,67001.7,67044.0,67001.8,1981005.3622641,18407092.3028,511812.0185917,6850212.6943,2746,4820,837,1546,195217.55258299777,-6.212e-05
8,2024-07-21 00:40:00.000000 +00:00,67044.0,67001.8,67053.23,67017.8,66962.0,66918.4,66985.01,66942.1,2976623.1591909,39764714.8055,1830471.8714706,16533979.5018,3274,6871,1208,2608,195196.3129616299,-6.459e-05
9,2024-07-21 00:45:00.000000 +00:00,66985.0,66942.0,67085.08,67037.9,66966.0,66918.5,67027.46,66986.3,9594813.3398401,35535648.9977,7729182.4950497,23649799.8324,3784,6502,1989,3779,195090.18852083577,-6.627e-05
10,2024-07-21 00:50:00.000000 +00:00,67027.47,66986.3,67036.01,67000.0,67002.01,66956.9,67032.0,66996.1,1389380.0358566,13151357.7698,417924.7078027,7498112.7425,3826,3230,815,1672,195117.0624354353,-6.792e-05
11,2024-07-21 00:55:00.000000 +00:00,67032.0,66996.0,67075.0,67040.0,67016.0,66971.5,67066.02,67026.5,1820393.1814203,13032238.1545,1046253.0492818,8334371.7651,2046,3640,1010,1994,195106.26763149473,-6.897e-05
12,2024-07-21 01:00:00.000000 +00:00,67066.02,67026.5,67074.0,67040.0,67042.51,66997.0,67045.24,67001.0,1200835.1326327,8964453.0147,494509.2368945,3932614.2905,1818,3167,699,1519,195173.9840809538,-6.993e-05
13,2024-07-21 01:05:00.000000 +00:00,67045.25,67001.0,67104.0,67067.7,67041.07,67000.0,67090.0,67045.2,1360262.5663947,11417174.5324,983937.8372043,7354326.3403,2125,3231,1394,1856,195126.24595766037,-7.03e-05
14,2024-07-21 01:10:00.000000 +00:00,67090.0,67045.2,67104.0,67067.9,67084.51,67045.0,67103.99,67064.2,1331008.8669315,7657052.012999999,1085527.1576567,3926077.8106,1524,2033,988,1038,195172.15486745,-7.069e-05
15,2024-07-21 01:15:00.000000 +00:00,67103.99,67064.3,67142.85,67104.7,67103.99,67064.2,67123.01,67083.1,1439918.9165986,15399137.6644,1072256.4108484,10024518.6444,1726,3049,997,1805,195162.44094299985,-7.064e-05
